order_id,customer_id,order_date,status,payment_method,shipping_address,shipping_city,shipping_state,discount_amount,total_amount
ORD00000089,CUST000900,2024-11-15 22:45:13,Cancelled,Credit Card,891 Oak St,San Diego,TX,43.41,3894.99
ORD00000090,CUST000196,2024-11-21 22:45:13,Cancelled,Credit Card,4381 Main St,Los Angeles,CA,24.74,1402.86
ORD00000091,CUST000182,2024-10-26 22:45:13,Completed,Bank Transfer,3589 Park St,Dallas,IL,36.97,1662.77
ORD00000092,CUST000397,2025-02-27 22:45:13,Processing,Cash,8514 Oak St,Chicago,PA,44.57,4764.55
ORD00000093,CUST000366,2024-10-21 22:45:13,Shipped,Credit Card,5389 Park St,Houston,CA,7.61,2943.46
ORD00000094,CUST000179,2025-07-07 22:45:13,Cancelled,Credit Card,5874 Park St,Houston,AZ,38.85,10324.36
ORD00000095,CUST000556,2024-08-26 22:45:13,Cancelled,Credit Card,6726 Park St,Phoenix,NY,3.92,9795.51
ORD00000096,CUST000336,2025-06-19 22:45:13,Cancelled,Cash,4392 Elm St,Houston,TX,25.87,4950.31
ORD00000097,CUST000538,2024-11-15 22:45:13,Completed,Credit Card,1948 Park St,Chicago,CA,3.73,808.18
ORD00000098,CUST000633,2024-12-25 22:45:13,Cancelled,Bank Transfer,4512 Oak St,San Diego,AZ,13.13,7076.12
ORD00000099,CUST000340,2025-03-01 22:45:13,Completed,PayPal,4708 Elm St,San Jose,PA,25.87,1821.17
ORD00000100,CUST000825,2024-11-06 22:45:13,Cancelled,Credit Card,6640 Park St,Houston,TX,36.17,5193.45
ORD00000101,CUST000604,2025-04-19 22:45:13,Completed,Cash,5626 Oak St,Philadelphia,AZ,41.95,4597.99
ORD00000102,CUST000347,2024-09-03 22:45:13,Cancelled,PayPal,7189 Main St,San Antonio,PA,14.27,4529.47
ORD00000103,CUST000888,2024-12-15 22:45:13,Shipped,PayPal,8126 Park St,Dallas,TX,41.66,871.22
ORD00000104,CUST000953,2024-09-21 22:45:13,Cancelled,Bank Transfer,6908 Elm St,New York,CA,13.23,6749.0
ORD00000105,CUST000907,2025-04-23 22:45:13,Completed,Bank Transfer,3255 Oak St,New York,TX,41.4,1702.2
ORD00000106,CUST000221,2024-08-31 22:45:13,Processing,PayPal,5129 Oak St,New York,CA,19.0,5159.71
ORD00000107,CUST000517,2025-06-07 22:45:13,Completed,Credit Card,755 Elm St,Dallas,PA,22.18,1176.92
ORD00000108,CUST000410,2025-03-24 22:45:13,Completed,Bank Transfer,8548 Elm St,Phoenix,CA,34.1,3362.79
ORD00000109,CUST000667,2025-05-12 22:45:13,Shipped,Bank Transfer,3564 Park St,San Antonio,CA,48.01,7796.68
ORD00000110,CUST000074,2025-04-01 22:45:13,Shipped,PayPal,2310 Park St,New York,CA,8.19,2655.93
ORD00000111,CUST000705,2025-05-21 22:45:13,Completed,Credit Card,1212 Park St,Phoenix,TX,47.94,6949.01
ORD00000112,CUST000537,2025-06-14 22:45:13,Shipped,PayPal,9660 Park St,Houston,TX,13.92,821.72
ORD00000113,CUST000469,2025-03-07 22:45:13,Completed,Credit Card,2981 Park St,San Jose,NY,15.11,4757.5
ORD00000114,CUST000620,2024-11-30 22:45:13,Completed,Cash,4819 Main St,Phoenix,CA,33.55,6174.28
ORD00000115,CUST000103,2024-12-24 22:45:13,Cancelled,Bank Transfer,5042 Park St,New York,AZ,36.13,840.22
ORD00000116,CUST000007,2025-01-09 22:45:13,Cancelled,PayPal,5190 Oak St,Los Angeles,TX,10.93,5935.73
ORD00000117,CUST000080,2025-04-16 22:45:13,Shipped,Cash,8631 Main St,San Jose,CA,5.02,457.99
ORD00000118,CUST000633,2025-02-13 22:45:13,Shipped,Bank Transfer,9975 Oak St,San Diego,AZ,5.86,592.14
ORD00000119,CUST000812,2024-10-26 22:45:13,Completed,Bank Transfer,3242 Main St,Los Angeles,TX,20.69,4327.26
ORD00000120,CUST000587,2024-11-13 22:45:13,Cancelled,Credit Card,5971 Main St,San Diego,NY,47.55,10822.26
ORD00000121,CUST000038,2024-11-22 22:45:13,Cancelled,Cash,1512 Oak St,Philadelphia,NY,49.88,6964.3
ORD00000122,CUST000835,2025-01-31 22:45:13,Processing,PayPal,8624 Main St,Dallas,TX,1.69,2990.47
ORD00000123,CUST000193,2025-06-01 22:45:13,Completed,Bank Transfer,7144 Oak St,Phoenix,TX,17.67,6412.71
ORD00000124,CUST000557,2025-04-21 22:45:13,Shipped,Bank Transfer,4603 Main St,Houston,AZ,8.09,6990.19
ORD00000125,CUST000047,2024-10-07 22:45:13,Completed,PayPal,8484 Oak St,New York,TX,5.93,6217.73
ORD00000126,CUST000950,2025-01-04 22:45:13,Completed,Bank Transfer,1915 Main St,Los Angeles,TX,6.53,2041.0
ORD00000127,CUST000382,2025-06-13 22:45:13,Cancelled,PayPal,1534 Main St,Philadelphia,CA,13.69,6768.14
ORD00000128,CUST000106,2025-02-27 22:45:13,Processing,PayPal,606 Main St,Los Angeles,TX,39.29,6626.09
ORD00000129,CUST000677,2025-06-13 22:45:13,Processing,Bank Transfer,4521 Elm St,Phoenix,CA,36.77,2507.98
ORD00000130,CUST000032,2024-09-29 22:45:13,Processing,Bank Transfer,6218 Park St,San Diego,CA,48.51,209.66
ORD00000131,CUST000799,2024-09-25 22:45:13,Shipped,Cash,3373 Main St,Los Angeles,CA,20.88,9316.37
ORD00000132,CUST000636,2024-08-06 22:45:13,Shipped,Bank Transfer,7505 Main St,Chicago,CA,9.76,574.14
ORD00000133,CUST000508,2024-10-08 22:45:13,Processing,Cash,990 Oak St,San Jose,NY,44.83,2658.14
ORD00000134,CUST000992,2025-04-01 22:45:13,Completed,Credit Card,2307 Park St,Houston,NY,29.35,5006.58
ORD00000135,CUST000882,2025-01-10 22:45:13,Shipped,Credit Card,6893 Park St,San Jose,CA,23.01,2323.06
ORD00000136,CUST000903,2025-01-30 22:45:13,Processing,Credit Card,520 Park St,Chicago,NY,29.41,5775.33
ORD00000137,CUST000209,2025-01-17 22:45:13,Completed,Cash,6375 Oak St,Los Angeles,NY,20.09,4623.34
ORD00000138,CUST000920,2025-02-26 22:45:13,Shipped,Credit Card,7886 Elm St,San Diego,TX,32.6,886.15
ORD00000139,CUST000145,2024-11-07 22:45:13,Shipped,Cash,8422 Main St,San Antonio,TX,21.01,189.31
ORD00000140,CUST000499,2025-07-14 22:45:13,Completed,PayPal,4784 Oak St,San Antonio,PA,44.53,1026.54
ORD00000141,CUST000774,2025-06-14 22:45:13,Shipped,Cash,5457 Elm St,San Antonio,CA,27.83,4517.29
ORD00000142,CUST000568,2025-05-08 22:45:13,Processing,PayPal,9707 Oak St,Philadelphia,AZ,25.19,5877.87
ORD00000143,CUST000292,2024-12-19 22:45:13,Completed,PayPal,6354 Main St,Houston,TX,38.51,3188.33
ORD00000144,CUST000800,2024-08-25 22:45:13,Shipped,Cash,974 Oak St,San Jose,CA,36.82,1797.2
ORD00000145,CUST000577,2025-06-18 22:45:13,Processing,Cash,3888 Main St,San Antonio,CA,19.55,4477.96
ORD00000146,CUST000277,2025-03-06 22:45:13,Completed,Bank Transfer,2145 Main St,San Diego,TX,16.14,2055.54
ORD00000147,CUST000769,2024-11-11 22:45:13,Processing,Cash,3810 Main St,Chicago,NY,42.03,2865.71
ORD00000148,CUST000196,2025-07-19 22:45:13,Cancelled,PayPal,4219 Park St,Los Angeles,CA,5.92,6551.71
ORD00000149,CUST000105,2024-10-17 22:45:13,Completed,Bank Transfer,3274 Park St,Los Angeles,CA,37.43,3385.33
ORD00000150,CUST000112,2025-02-28 22:45:13,Cancelled,Cash,2993 Elm St,San Diego,CA,29.33,2282.34
ORD00000151,CUST000963,2025-07-09 22:45:13,Shipped,Bank Transfer,7257 Elm St,San Diego,CA,25.33,2418.3
ORD00000152,CUST000663,2024-10-28 22:45:13,Shipped,Credit Card,9203 Park St,Philadelphia,TX,35.18,2429.79
ORD00000153,CUST000389,2024-07-30 22:45:13,Cancelled,Credit Card,8950 Oak St,Phoenix,TX,16.36,4769.37
ORD00000154,CUST000362,2024-09-23 22:45:13,Cancelled,Cash,1995 Oak St,San Jose,CA,34.51,879.53
ORD00000155,CUST000001,2025-03-26 22:45:13,Shipped,Cash,241 Oak St,Chicago,TX,46.99,1969.44
ORD00000156,CUST000071,2024-07-25 22:45:13,Completed,PayPal,7263 Elm St,Los Angeles,CA,24.39,4664.24
ORD00000157,CUST000181,2024-07-31 22:45:13,Cancelled,Cash,7109 Park St,Los Angeles,TX,9.26,573.09
ORD00000158,CUST000820,2025-03-16 22:45:13,Cancelled,Credit Card,6173 Oak St,Houston,IL,33.5,1727.28
ORD00000159,CUST000583,2024-10-20 22:45:13,Processing,Credit Card,1466 Elm St,Chicago,PA,0.2,53.47
ORD00000160,CUST000069,2025-04-05 22:45:13,Processing,PayPal,2494 Main St,San Diego,TX,29.68,11271.82
ORD00000161,CUST000343,2025-01-03 22:45:13,Completed,Cash,1161 Main St,Chicago,TX,25.4,3820.8
ORD00000162,CUST000749,2024-11-26 22:45:13,Processing,Bank Transfer,3936 Park St,Los Angeles,TX,44.08,1691.57
ORD00000163,CUST000301,2025-07-11 22:45:13,Completed,PayPal,4031 Main St,San Antonio,IL,36.6,3210.14
ORD00000164,CUST000594,2025-07-02 22:45:13,Completed,PayPal,4026 Elm St,San Antonio,CA,10.5,5917.88
ORD00000165,CUST000064,2025-04-05 22:45:13,Shipped,Cash,5219 Elm St,Los Angeles,PA,30.69,327.61
ORD00000166,CUST000640,2024-11-03 22:45:13,Completed,Cash,2264 Main St,San Diego,TX,27.49,5821.59
ORD00000167,CUST000262,2025-04-12 22:45:13,Shipped,Credit Card,8573 Park St,Houston,IL,2.86,5649.83
ORD00000168,CUST000038,2024-12-06 22:45:13,Shipped,Credit Card,4390 Elm St,Philadelphia,NY,49.72,9315.48
ORD00000169,CUST000575,2024-12-05 22:45:13,Processing,PayPal,8319 Main St,San Jose,PA,31.43,2863.21
ORD00000170,CUST000099,2025-02-01 22:45:13,Cancelled,Bank Transfer,5756 Elm St,Chicago,CA,6.1,2030.79
ORD00000171,CUST000927,2025-07-03 22:45:13,Shipped,Credit Card,518 Main St,Chicago,TX,48.51,5963.19
ORD00000172,CUST000068,2025-01-10 22:45:13,Completed,Credit Card,3775 Main St,Houston,NY,44.1,2160.77
ORD00000173,CUST000244,2025-02-28 22:45:13,Processing,PayPal,4351 Oak St,Los Angeles,AZ,35.5,2395.46
ORD00000174,CUST000644,2024-10-04 22:45:13,Processing,Cash,1062 Elm St,Phoenix,TX,13.51,156.31
ORD00000175,CUST000221,2024-10-11 22:45:13,Cancelled,Credit Card,5771 Elm St,New York,CA,28.07,3816.22
ORD00000176,CUST000802,2024-09-07 22:45:13,Cancelled,Bank Transfer,3168 Oak St,San Antonio,TX,46.18,4137.52
ORD00000177,CUST000918,2025-04-27 22:45:13,Processing,Credit Card,4337 Park St,Los Angeles,NY,36.64,3459.77
ORD00000178,CUST000679,2025-01-27 22:45:13,Cancelled,Credit Card,5281 Elm St,Chicago,PA,1.79,2657.91
ORD00000179,CUST000086,2025-01-20 22:45:13,Completed,Bank Transfer,3326 Elm St,San Jose,TX,17.26,4184.85
ORD00000180,CUST000362,2025-05-28 22:45:13,Shipped,Credit Card,8490 Main St,San Jose,CA,0.6,9034.43
ORD00000181,CUST000091,2024-08-28 22:45:13,Cancelled,PayPal,2774 Elm St,Los Angeles,IL,5.82,472.02
ORD00000182,CUST000343,2024-09-26 22:45:13,Processing,PayPal,3848 Park St,Chicago,TX,13.17,2384.81
ORD00000183,CUST000217,2025-05-28 22:45:13,Cancelled,Cash,6594 Park St,Phoenix,CA,34.69,6201.1
ORD00000184,CUST000146,2024-08-30 22:45:13,Shipped,PayPal,5615 Oak St,Phoenix,CA,12.31,4245.93
ORD00000185,CUST000455,2025-05-11 22:45:13,Processing,Bank Transfer,6374 Main St,San Diego,TX,33.2,10612.09
ORD00000186,CUST000819,2024-10-10 22:45:13,Completed,Bank Transfer,3643 Oak St,Dallas,CA,14.39,5168.65
ORD00000187,CUST000469,2024-12-27 22:45:13,Shipped,PayPal,5323 Park St,San Jose,NY,9.13,4295.37
ORD00000188,CUST000999,2024-08-23 22:45:13,Cancelled,Bank Transfer,5524 Main St,Houston,IL,8.81,58.85
ORD00000189,CUST000976,2025-01-14 22:45:13,Cancelled,Credit Card,7935 Elm St,San Diego,TX,31.94,5051.79
ORD00000190,CUST000107,2024-12-17 22:45:13,Processing,PayPal,1837 Park St,Philadelphia,CA,2.62,337.82
ORD00000191,CUST000528,2024-10-15 22:45:13,Processing,Cash,3790 Park St,San Antonio,TX,29.61,1450.99
ORD00000192,CUST000479,2024-12-15 22:45:13,Processing,Cash,488 Main St,Houston,CA,37.92,3119.15
ORD00000193,CUST000839,2025-04-12 22:45:13,Cancelled,Cash,663 Oak St,Chicago,IL,34.27,2542.29
ORD00000194,CUST000308,2024-09-01 22:45:13,Processing,PayPal,8323 Elm St,San Antonio,TX,9.07,7644.7
ORD00000195,CUST000026,2024-12-13 22:45:13,Shipped,Bank Transfer,6756 Oak St,Philadelphia,AZ,27.35,5067.33
ORD00000196,CUST000179,2024-12-17 22:45:13,Processing,Cash,6682 Elm St,Houston,AZ,15.81,4577.69
ORD00000197,CUST000125,2025-05-01 22:45:13,Processing,Credit Card,1586 Elm St,San Diego,IL,10.02,1134.23
ORD00000198,CUST000953,2025-01-16 22:45:13,Processing,Bank Transfer,2497 Main St,New York,CA,25.09,3937.55
ORD00000199,CUST000184,2025-06-27 22:45:13,Shipped,Credit Card,7902 Main St,San Diego,CA,3.27,3562.19
ORD00000200,CUST000888,2024-11-07 22:45:13,Completed,Credit Card,3659 Oak St,Dallas,TX,8.76,3834.72
ORD00000201,CUST000303,2024-12-29 22:45:13,Processing,Bank Transfer,704 Park St,Chicago,TX,21.4,4921.21
ORD00000202,CUST000605,2025-01-18 22:45:13,Completed,Cash,6873 Main St,Dallas,PA,11.05,4121.18
ORD00000203,CUST000220,2024-09-13 22:45:13,Processing,PayPal,4707 Main St,Phoenix,IL,0.96,6201.12
ORD00000204,CUST000869,2025-03-21 22:45:13,Processing,PayPal,1215 Park St,Los Angeles,AZ,42.22,7754.65
ORD00000205,CUST000204,2024-12-12 22:45:13,Shipped,Bank Transfer,8904 Park St,Phoenix,TX,16.89,2550.13
ORD00000206,CUST000491,2024-08-17 22:45:13,Cancelled,PayPal,7556 Elm St,Dallas,TX,34.58,2897.77
ORD00000207,CUST000958,2024-10-06 22:45:13,Cancelled,PayPal,7797 Elm St,New York,CA,4.88,2407.22
ORD00000208,CUST000104,2025-01-05 22:45:13,Processing,Credit Card,3510 Park St,San Jose,CA,36.4,496.76
ORD00000209,CUST000177,2024-10-29 22:45:13,Completed,Bank Transfer,7969 Main St,Chicago,CA,45.48,7147.13
ORD00000210,CUST000627,2024-12-09 22:45:13,Shipped,Bank Transfer,1330 Main St,San Jose,PA,22.97,1389.23
ORD00000211,CUST000999,2024-07-30 22:45:13,Shipped,Credit Card,8036 Elm St,Houston,IL,46.37,5050.16
ORD00000212,CUST000783,2024-09-10 22:45:13,Cancelled,Credit Card,8240 Main St,San Antonio,CA,29.48,6717.65
ORD00000213,CUST000730,2024-11-18 22:45:13,Processing,Credit Card,8335 Oak St,Chicago,NY,39.62,829.82
ORD00000214,CUST000570,2024-07-31 22:45:13,Completed,Bank Transfer,5967 Elm St,Houston,IL,27.34,8894.1
ORD00000215,CUST000412,2024-10-23 22:45:13,Processing,Cash,371 Park St,San Diego,PA,42.42,5839.42
ORD00000216,CUST000490,2024-10-22 22:45:13,Shipped,Cash,1916 Main St,Chicago,CA,42.78,3886.43
ORD00000217,CUST000802,2024-12-20 22:45:13,Shipped,Cash,2152 Oak St,San Antonio,TX,47.06,4776.72
ORD00000218,CUST000666,2025-03-16 22:45:13,Processing,Credit Card,421 Oak St,Philadelphia,CA,26.35,5199.19
ORD00000219,CUST000973,2025-03-24 22:45:13,Cancelled,Credit Card,8313 Main St,San Diego,IL,25.36,2162.28
ORD00000220,CUST000362,2024-10-04 22:45:13,Completed,Bank Transfer,7833 Oak St,San Jose,CA,33.48,5986.43
ORD00000221,CUST000945,2024-09-03 22:45:13,Shipped,Cash,143 Main St,New York,TX,22.63,396.19
ORD00000222,CUST000260,2024-10-06 22:45:13,Processing,Credit Card,2910 Elm St,Phoenix,CA,5.03,3178.53
ORD00000223,CUST000770,2024-12-28 22:45:13,Cancelled,Credit Card,6232 Elm St,Los Angeles,CA,4.06,5337.03
ORD00000224,CUST000854,2025-07-10 22:45:13,Completed,PayPal,7352 Elm St,San Diego,PA,48.32,4122.18
ORD00000225,CUST000075,2025-04-28 22:45:13,Completed,Cash,4451 Oak St,San Antonio,IL,35.3,5303.62
ORD00000226,CUST000546,2025-03-26 22:45:13,Processing,PayPal,4294 Main St,New York,TX,3.23,4601.17
ORD00000227,CUST000170,2025-02-13 22:45:13,Processing,PayPal,7450 Main St,Chicago,PA,7.61,7534.16
